// All unique phrases extracted from story-chunks + pattern-examples
// Format: phrase | type

a bit ahead                                        | chunk
heard about                                        | phrasalVerb
held back                                          | phrasalVerb
help me out                                        | phrasalVerb
help out                                           | phrasalVerb
hold off                                           | phrasalVerb
hold off on                                        | phrasalVerb
hold on to                                         | phrasalVerb
holding on                                         | phrasalVerb
holds down                                         | phrasalVerb
hoping for                                         | phrasalVerb
hung out                                           | phrasalVerb
ironed out                                         | phrasalVerb
keep coming back                                   | phrasalVerb
keep up                                            | phrasalVerb
keep up with                                       | phrasalVerb
keeping up with                                    | phrasalVerb
keeps the noise down                               | phrasalVerb
knocked out                                        | phrasalVerb
let everyone down                                  | phrasalVerb
let go of                                          | phrasalVerb
let it go                                          | phrasalVerb
letting go of                                      | phrasalVerb
letting him down                                   | phrasalVerb
lie down                                           | phrasalVerb
listen to                                          | phrasalVerb
listened to                                        | phrasalVerb
lit up                                             | phrasalVerb
live with                                          | phrasalVerb
log in                                             | phrasalVerb
look after                                         | phrasalVerb
look forward to                                    | phrasalVerb
look it over                                       | phrasalVerb
look like                                          | phrasalVerb
look out for                                       | phrasalVerb
looked around                                      | phrasalVerb
looked for                                         | phrasalVerb
looked into                                        | phrasalVerb
looked up                                          | phrasalVerb
looking for                                        | phrasalVerb
looking forward to                                 | phrasalVerb
looking into                                       | phrasalVerb
looking into it                                    | phrasalVerb
made sure                                          | phrasalVerb
make it through                                    | phrasalVerb
make sense                                         | phrasalVerb
Make sure                                          | phrasalVerb
make up for                                        | phrasalVerb
meet up                                            | phrasalVerb
move into                                          | phrasalVerb
move on                                            | phrasalVerb
move on from                                       | phrasalVerb
move out                                           | phrasalVerb
moved into                                         | phrasalVerb
moved on                                           | phrasalVerb
moved on from                                      | phrasalVerb
moved to                                           | phrasalVerb
Moving on                                          | phrasalVerb
opened up                                          | phrasalVerb
opened up about                                    | phrasalVerb
opened up to                                       | phrasalVerb
opening up                                         | phrasalVerb
own up to                                          | phrasalVerb
pays off                                           | phrasalVerb
peeling potatoes                                   | phrasalVerb
pick up                                            | phrasalVerb
picked up                                          | phrasalVerb
piling up                                          | phrasalVerb
point to                                           | phrasalVerb
pointed out                                        | phrasalVerb
pointed to                                         | phrasalVerb
points to                                          | phrasalVerb
pouring out                                        | phrasalVerb
pull back from                                     | phrasalVerb
pull her through                                   | phrasalVerb
pull it off                                        | phrasalVerb
pull off                                           | phrasalVerb
pull over                                          | phrasalVerb
pull this off                                      | phrasalVerb
pulled back from                                   | phrasalVerb
pulled it off                                      | phrasalVerb
pulled me through                                  | phrasalVerb
pulled off                                         | phrasalVerb
pulled that off                                    | phrasalVerb
pulled up                                          | phrasalVerb
pulled up to                                       | phrasalVerb
pulled us through                                  | phrasalVerb
pulling off                                        | phrasalVerb
push back                                          | phrasalVerb
push the meeting back                              | phrasalVerb
push through                                       | phrasalVerb
pushed on                                          | phrasalVerb
pushed through                                     | phrasalVerb
pushing for                                        | phrasalVerb
put down                                           | phrasalVerb
put off                                            | phrasalVerb
put on                                             | phrasalVerb
put this behind                                    | phrasalVerb
put up with                                        | phrasalVerb
put you through                                    | phrasalVerb
putting in                                         | phrasalVerb
putting it off                                     | phrasalVerb
putting off                                        | phrasalVerb
putting things off                                 | phrasalVerb
putting this off                                   | phrasalVerb
putting up with                                    | phrasalVerb
ran into                                           | phrasalVerb
ran low on                                         | phrasalVerb
ran out of                                         | phrasalVerb
reach out                                          | phrasalVerb
reach out to                                       | phrasalVerb
reached out                                        | phrasalVerb
reaching out to                                    | phrasalVerb
rely on                                            | phrasalVerb
roll out                                           | phrasalVerb
rolled up                                          | phrasalVerb
rolling out                                        | phrasalVerb
run into                                           | phrasalVerb
running into                                       | phrasalVerb
running low on                                     | phrasalVerb
running out of                                     | phrasalVerb
rush through                                       | phrasalVerb
sat down                                           | phrasalVerb
save up                                            | phrasalVerb
saving up for                                      | phrasalVerb
scale up                                           | phrasalVerb
scaling up                                         | phrasalVerb
see it through                                     | phrasalVerb
set out for                                        | phrasalVerb
set up                                             | phrasalVerb
setting up the room                                | phrasalVerb
shaking things up                                  | phrasalVerb
show up                                            | phrasalVerb
showed up                                          | phrasalVerb
showed up at                                       | phrasalVerb
showing up                                         | phrasalVerb
shut the whole department down                     | phrasalVerb
signed up for                                      | phrasalVerb
slow down                                          | phrasalVerb
slowed down                                        | phrasalVerb
smoothing things over                              | phrasalVerb
snap at                                            | phrasalVerb
sold out                                           | phrasalVerb
sort it out                                        | phrasalVerb
sort out                                           | phrasalVerb
sort things out                                    | phrasalVerb
sort this out                                      | phrasalVerb
sorted this out                                    | phrasalVerb
speak up                                           | phrasalVerb
speak up about                                     | phrasalVerb
splurged on                                        | phrasalVerb
spoke up about                                     | phrasalVerb
spoken up                                          | phrasalVerb
standing up for                                    | phrasalVerb
standing up for yourself                           | phrasalVerb
start over                                         | phrasalVerb
started with                                       | phrasalVerb
starting with                                      | phrasalVerb
stay in                                            | phrasalVerb
stayed over at                                     | phrasalVerb
stayed up                                          | phrasalVerb
stepped back                                       | phrasalVerb
stocked up on                                      | phrasalVerb
stood up for                                       | phrasalVerb
stopped by                                         | phrasalVerb
stretch out                                        | phrasalVerb
sum up                                             | phrasalVerb
summed up                                          | phrasalVerb
swamped with                                       | phrasalVerb
switching to                                       | phrasalVerb
tag along                                          | phrasalVerb
take care of                                       | phrasalVerb
take in                                            | phrasalVerb
take off                                           | phrasalVerb
take on                                            | phrasalVerb
take out                                           | phrasalVerb
take over                                          | phrasalVerb
takes up                                           | phrasalVerb
taking the lead                                    | phrasalVerb
talk about                                         | phrasalVerb
talk down to                                       | phrasalVerb
talk it over                                       | phrasalVerb
think about                                        | phrasalVerb
think it over                                      | phrasalVerb
think it through                                   | phrasalVerb
thinking about                                     | phrasalVerb
thought about                                      | phrasalVerb
touch base                                         | phrasalVerb
tried on                                           | phrasalVerb
try the coat on                                    | phrasalVerb
try these shoes on                                 | phrasalVerb
try this on                                        | phrasalVerb
turn in                                            | phrasalVerb
turn in early                                      | phrasalVerb
turn off                                           | phrasalVerb
turn out                                           | phrasalVerb
turn things around                                 | phrasalVerb
turned down                                        | phrasalVerb
turned it down                                     | phrasalVerb
turned out                                         | phrasalVerb
turned things around                               | phrasalVerb
turned up                                          | phrasalVerb
turning down                                       | phrasalVerb
turning on                                         | phrasalVerb
used to                                            | phrasalVerb
wait for                                           | phrasalVerb
waking up                                          | phrasalVerb
walked out                                         | phrasalVerb
warm up                                            | phrasalVerb
watch out                                          | phrasalVerb
Watch out for                                      | phrasalVerb
went ahead with                                    | phrasalVerb
went on                                            | phrasalVerb
went up                                            | phrasalVerb
wind down                                          | phrasalVerb
woke up to                                         | phrasalVerb
work on                                            | phrasalVerb
work out                                           | phrasalVerb
worked out                                         | phrasalVerb
working out                                        | phrasalVerb
works out                                          | phrasalVerb
worried about                                      | phrasalVerb
worry about                                        | phrasalVerb
wrap things up                                     | phrasalVerb
wrap this up                                       | phrasalVerb
wrap up                                            | phrasalVerb
wrapped up                                         | phrasalVerb
wrapping up                                        | phrasalVerb
writing it off                                     | phrasalVerb
a few times                                        | prepPhrase
a long time                                        | prepPhrase
a lot of                                           | prepPhrase
after a long break                                 | prepPhrase
after all                                          | prepPhrase
after five                                         | prepPhrase
after hours of thinking                            | prepPhrase
after listening to it a few times                  | prepPhrase
after living there for a year                      | prepPhrase
after the accident                                 | prepPhrase
after the break                                    | prepPhrase
after the concert                                  | prepPhrase
after the injury                                   | prepPhrase
after work                                         | prepPhrase
after years of                                     | prepPhrase
again and again                                    | prepPhrase
as a family                                        | prepPhrase
As far as                                          | prepPhrase
As long as                                         | prepPhrase
As opposed to                                      | prepPhrase
as soon as                                         | prepPhrase
at all                                             | prepPhrase
at dawn                                            | prepPhrase
at first                                           | prepPhrase
at least                                           | prepPhrase
at once                                            | prepPhrase
at the airport                                     | prepPhrase
at the camp                                        | prepPhrase
at the coffee shop                                 | prepPhrase
at the corner                                      | prepPhrase
at the counter                                     | prepPhrase
at the door                                        | prepPhrase
at the end of the meeting                          | prepPhrase
at the gym                                         | prepPhrase
at the meeting                                     | prepPhrase
at the same time                                   | prepPhrase
at the start of                                    | prepPhrase
at the table                                       | prepPhrase
back and forth                                     | prepPhrase
back-to-back                                       | prepPhrase
because of the noise                               | prepPhrase
before departure                                   | prepPhrase
before submitting                                  | prepPhrase
before the deadline                                | prepPhrase
before the end of the month                        | prepPhrase
before the meeting                                 | prepPhrase
before the storm                                   | prepPhrase
before the writing test                            | prepPhrase
behind on my                                       | prepPhrase
by accident                                        | prepPhrase
by end of day                                      | prepPhrase
by end of next week                                | prepPhrase
by end of week                                     | prepPhrase
by Friday                                          | prepPhrase
by herself                                         | prepPhrase
by noon                                            | prepPhrase
by the door                                        | prepPhrase
by the window                                      | prepPhrase
by Thursday                                        | prepPhrase
by Thursday morning                                | prepPhrase
by tomorrow morning                                | prepPhrase
by tonight                                         | prepPhrase
by total accident                                  | prepPhrase
Despite                                            | prepPhrase
despite strong opposition                          | prepPhrase
despite the cold weather                           | prepPhrase
due on Friday                                      | prepPhrase
during a recession                                 | prepPhrase
during the discussion                              | prepPhrase
during the farewell speech                         | prepPhrase
during the funeral                                 | prepPhrase
during the internship                              | prepPhrase
during the lecture                                 | prepPhrase
during the long flight                             | prepPhrase
during the sale                                    | prepPhrase
Even though                                        | prepPhrase
for a long time                                    | prepPhrase
for a moment                                       | prepPhrase
for a quick break                                  | prepPhrase
for a second                                       | prepPhrase
for a while                                        | prepPhrase
for a whole                                        | prepPhrase
for my birthday                                    | prepPhrase
for now                                            | prepPhrase
for once                                           | prepPhrase
for over ten years                                 | prepPhrase
for the holidays                                   | prepPhrase
for the kids                                       | prepPhrase
for weeks                                          | prepPhrase
from a different angle                             | prepPhrase
From a practical standpoint                        | prepPhrase
From my point of view                              | prepPhrase
from now on                                        | prepPhrase
from saying                                        | prepPhrase
from there                                         | prepPhrase
I apologize for the wait                           | prepPhrase
I'll put you through                               | prepPhrase
in about twenty minutes                            | prepPhrase
in about two hours                                 | prepPhrase
In addition to                                     | prepPhrase
in five years                                      | prepPhrase
In hindsight                                       | prepPhrase
In my experience                                   | prepPhrase
in person                                          | prepPhrase
in place                                           | prepPhrase
in practice                                        | prepPhrase
in silence                                         | prepPhrase
In spite of                                        | prepPhrase
in the corner                                      | prepPhrase
in the middle of                                   | prepPhrase
in the morning                                     | prepPhrase
in the next decade                                 | prepPhrase
in the wrong size                                  | prepPhrase
In theory                                          | prepPhrase
in three days                                      | prepPhrase
instead of                                         | prepPhrase
just in case                                       | prepPhrase
just in time                                       | prepPhrase
later in the week                                  | prepPhrase
No problem                                         | prepPhrase
No wonder                                          | prepPhrase
on hand                                            | prepPhrase
on her lunch break                                 | prepPhrase
on her own                                         | prepPhrase
on me tonight                                      | prepPhrase
on that point                                      | prepPhrase
on the highway                                     | prepPhrase
on the phone                                       | prepPhrase
on the wall                                        | prepPhrase
On the way                                         | prepPhrase
on the way to                                      | prepPhrase
on this issue                                      | prepPhrase
on time                                            | prepPhrase
on weekends                                        | prepPhrase
one terminal over                                  | prepPhrase
out of proportion                                  | prepPhrase
over and over                                      | prepPhrase
over dinner                                        | prepPhrase
over each other                                    | prepPhrase
Rather than                                        | prepPhrase
Regardless of                                      | prepPhrase
right away                                         | prepPhrase
right in front of me                               | prepPhrase
right now                                          | prepPhrase
so far                                             | prepPhrase
so much                                            | prepPhrase
step by step                                       | prepPhrase
the best part                                      | prepPhrase
this afternoon                                     | prepPhrase
to be clear                                        | prepPhrase
to me                                              | prepPhrase
two business days                                  | prepPhrase
until next month                                   | prepPhrase
with no luck                                       | prepPhrase
with you                                           | prepPhrase
within a minute                                    | prepPhrase
within a week                                      | prepPhrase
within fifteen minutes                             | prepPhrase
within thirty days                                 | prepPhrase
without any preparation                            | prepPhrase
without exception                                  | prepPhrase
without hesitation                                 | prepPhrase
without saying goodbye                             | prepPhrase
